Date,Open,High,Low,Close,Volume
7/23/2021 15:30:00,116,138.9,115,126,694895290
7/26/2021 15:30:00,126.35,143.75,125.3,140.65,249723854
7/27/2021 15:30:00,141.7,147.8,127.75,132.9,240341900
7/28/2021 15:30:00,131,135,123.55,131.2,159793731
7/29/2021 15:30:00,134.95,144,132.2,141.55,117973089
7/30/2021 15:30:00,142.6,142.7,131,133.5,88312522
8/2/2021 15:30:00,135.75,140.75,135.15,139.7,66909732
8/3/2021 15:30:00,137,140.8,137,139.4,46610001
8/4/2021 15:30:00,139.8,141,135.25,138.4,41134419
8/5/2021 15:30:00,138.75,138.9,132,134.95,38437134
8/6/2021 15:30:00,135.5,136.2,130.1,131.35,31975356
8/9/2021 15:30:00,132.4,133.55,127.25,130.6,41358299
8/10/2021 15:30:00,131,131.45,122.1,125.2,43164004
8/11/2021 15:30:00,123,138.75,123,135.65,111702781
8/12/2021 15:30:00,135.65,137.4,132.05,135.45,51256670
8/13/2021 15:30:00,133.85,139.75,132.1,137.35,33674300
8/16/2021 15:30:00,136.4,136.9,132.25,134.95,20305361
8/17/2021 15:30:00,132.8,134.35,130.6,132.5,15815187
8/18/2021 15:30:00,134.5,136.8,133.3,134.95,22566920
8/20/2021 15:30:00,134.95,141.45,133,139.3,53789580
8/23/2021 15:30:00,137.8,137.8,124.75,127.25,68470861
8/24/2021 15:30:00,127.25,127.95,120.5,125,56713556
8/25/2021 15:30:00,126,128.5,123.1,124.25,51078811
8/26/2021 15:30:00,125.25,127.15,124.35,125.85,20645403
8/27/2021 15:30:00,126.6,129.5,124.1,124.7,22227595
8/30/2021 15:30:00,127.85,135.45,127.55,133.55,45239080
8/31/2021 15:30:00,134,135.2,131.35,134.55,24640924
9/1/2021 15:30:00,134.55,135.1,130.7,132.6,16162269
9/2/2021 15:30:00,132,138.5,131.5,137.6,27882466
9/3/2021 15:30:00,135.95,151.4,135.6,149.75,113381518
9/6/2021 15:30:00,149.25,149.35,143.25,144.05,34811620
9/7/2021 15:30:00,144.9,146.85,138.55,140.05,30421931
9/8/2021 15:30:00,141,143.6,139.05,141.25,28133284
9/9/2021 15:30:00,141.4,142.9,140,141.6,18970691
9/13/2021 15:30:00,143.25,144.25,142,143.15,17426798
9/14/2021 15:30:00,145.15,152.75,136.2,144.1,112358935
9/15/2021 15:30:00,142.95,145,140.75,142.65,38892545
9/16/2021 15:30:00,143,144,141.5,142.05,17634206
9/17/2021 15:30:00,142.55,146.9,137.15,137.9,23264091
9/20/2021 15:30:00,137.7,140.85,133.25,134.3,19799941
9/21/2021 15:30:00,137.2,138,131,133.45,19330196
9/22/2021 15:30:00,135.4,135.4,131.3,132.1,16923375
9/23/2021 15:30:00,134.5,140.4,133.05,137.3,31779169
9/24/2021 15:30:00,137.55,139.5,136.05,136.65,13099391
9/27/2021 15:30:00,139.85,144.75,138,143.7,26041244
9/28/2021 15:30:00,143.9,143.9,137.65,139,13489232
9/29/2021 15:30:00,138,139.5,136.5,138.5,10801439
9/30/2021 15:30:00,139.2,139.2,136.15,136.6,7825751
10/1/2021 15:30:00,137.3,140.5,137,138,11940576
10/4/2021 15:30:00,139.1,140,138,139.1,11995299
10/5/2021 15:30:00,138.75,138.8,137.15,137.95,10912142
10/6/2021 15:30:00,138.75,139.2,133.7,134.95,9988184
10/7/2021 15:30:00,136.75,138.45,136.05,137.1,7317664
10/8/2021 15:30:00,138,138,135.7,136.15,6207969
10/11/2021 15:30:00,137.5,137.5,136.15,136.85,4395523
10/12/2021 15:30:00,137.3,137.75,135.5,136.6,5600652
10/13/2021 15:30:00,137.25,137.4,134.35,135.45,6351349
10/14/2021 15:30:00,135.9,137.3,133.7,135,8688177
10/18/2021 15:30:00,136,146.15,135.9,144.05,31446800
10/19/2021 15:30:00,144.9,145.1,137.25,138.55,14688308
10/20/2021 15:30:00,138.5,140.4,133.85,137.9,12607297
10/21/2021 15:30:00,139.75,139.9,135.8,138.15,5951873
10/22/2021 15:30:00,138.95,142,135.8,137.75,11468458
10/25/2021 15:30:00,138,138.95,131.55,132.7,13530512
10/26/2021 15:30:00,133,137.35,133,135.45,6445894
10/27/2021 15:30:00,136.2,139.25,134.5,134.8,8982174
10/28/2021 15:30:00,135.35,136.5,131.5,135.6,11936370
10/29/2021 15:30:00,135,135,130.5,131.55,12925877
11/1/2021 15:30:00,133.6,134.3,132,132.65,6200243
11/2/2021 15:30:00,132.7,133.6,131.75,132.45,7367792
11/3/2021 15:30:00,132.9,132.9,127.5,128.35,15919925
11/4/2021 19:15:00,130,132.4,130,131.35,4101820
11/8/2021 15:30:00,132.95,133.6,130.6,131.15,17645794
11/9/2021 15:30:00,133,138.9,131.65,137.65,26457361
11/10/2021 15:30:00,136.5,139.15,135,136.05,16816048
11/11/2021 15:30:00,142,144,132.6,140.9,83582039
11/12/2021 15:30:00,142,155.2,142,153,140547798
11/15/2021 15:30:00,149,163.3,142.35,160.3,121197599
11/16/2021 15:30:00,161.15,169,153.8,157.6,109342731
11/17/2021 15:30:00,155.95,162.25,154.25,156.55,44505156
11/18/2021 15:30:00,158.9,161.85,152.5,154.7,46802082
11/22/2021 15:30:00,158.25,158.25,136.8,149.75,79417849
11/23/2021 15:30:00,150,152,144.25,148.7,38236588
11/24/2021 15:30:00,151.1,156.4,149.6,155.5,53749976
11/25/2021 15:30:00,157,161.3,154.05,159.75,48900473
11/26/2021 15:30:00,158.45,158.45,146.25,148.15,35968151
11/29/2021 15:30:00,148.8,153.9,137.5,149.1,43972445
11/30/2021 15:30:00,149.95,158,145.3,152.55,258130152
12/1/2021 15:30:00,153,157.9,149.45,151.4,32604856
12/2/2021 15:30:00,151.6,153.8,147.8,150.65,23508261
12/3/2021 15:30:00,152.1,152.8,143.85,144.9,26452896
12/6/2021 15:30:00,146.6,146.85,135.3,138.55,33244501
12/7/2021 15:30:00,141.35,143.8,138.65,139.8,36835410
12/8/2021 15:30:00,141,148.6,140.25,147.6,37324365
12/9/2021 15:30:00,148.65,148.65,145.3,146.25,18377899
12/10/2021 15:30:00,144.1,146.4,139.75,140.55,27881031
12/13/2021 15:30:00,142.2,144.45,141.9,142.65,20318225
12/14/2021 15:30:00,144.7,144.95,140,140.65,19474412
12/15/2021 15:30:00,140.5,142,140,140.6,12791660
12/16/2021 15:30:00,141.9,142.85,137.4,138.4,17182101
12/17/2021 15:30:00,138.95,141,132.35,135.35,95386202
12/20/2021 15:30:00,135.3,135.75,124.6,126.55,36064413
12/21/2021 15:30:00,128.85,132.85,128.6,131.6,20442777
12/22/2021 15:30:00,133.05,139.75,133,138.65,19425711
12/23/2021 15:30:00,140.05,140.75,132.1,133,21934786
12/24/2021 15:30:00,134.5,134.5,129.6,131.45,17625584
12/27/2021 15:30:00,131.35,133.85,128,132.75,13934154
12/28/2021 15:30:00,133.7,134,131.65,132.85,11170275
12/29/2021 15:30:00,132.7,137.7,131.55,137.1,18914246
12/30/2021 15:30:00,137.05,137.05,133.3,133.95,8369208
12/31/2021 15:30:00,133.85,138.4,133.4,137.4,11452243
1/3/2022 15:30:00,139.7,142.45,138.3,141.35,22518241
1/4/2022 15:30:00,141.35,141.55,137.6,138.35,10705792
1/5/2022 15:30:00,137.9,137.9,133.3,133.95,15874857
1/6/2022 15:30:00,133,133.15,129.6,130,23780419
1/7/2022 15:30:00,130,131.45,129,129.25,22846951
1/10/2022 15:30:00,130.5,130.9,129.4,130.2,11389370
1/11/2022 15:30:00,131,132.5,130,131.3,15396652
1/12/2022 15:30:00,132.1,132.9,131.6,132.25,8004430
1/13/2022 15:30:00,132.5,133.45,132.35,133.1,6535224
1/14/2022 15:30:00,133.1,134.45,132.05,133.6,9443928
1/17/2022 15:30:00,133.6,134.5,133,134,7515979
1/18/2022 15:30:00,134.5,134.6,132.8,133.05,9428096
1/19/2022 15:30:00,131.7,132.4,128.25,129.2,27812341
1/20/2022 15:30:00,127.95,130.7,125,125.2,23290545
1/21/2022 15:30:00,125.15,125.15,112.55,113.65,59805922
1/24/2022 15:30:00,114,114.2,90.95,91.35,167044739
1/25/2022 15:30:00,90.95,100.45,84.15,100.45,138336211
1/27/2022 15:30:00,98,98,90.45,90.5,106488772
1/28/2022 15:30:00,93.6,96.45,88.8,89.55,61452438
1/31/2022 15:30:00,91.35,92.5,89.65,90.4,20203799
2/1/2022 15:30:00,91.75,95.8,91.05,94.55,32606751
2/2/2022 15:30:00,95.75,99.75,94.8,98.9,18674088
2/3/2022 15:30:00,98.5,98.5,96.1,97.1,9769090
2/4/2022 15:30:00,97.2,97.85,93.6,94.2,15354384
2/7/2022 15:30:00,95.1,95.5,93.35,93.55,10900141
2/8/2022 15:30:00,94.35,94.65,91.25,93.55,9026735
2/9/2022 15:30:00,94.5,95.45,93.6,94.2,7876462
2/10/2022 15:30:00,94.9,95.4,93,94.45,13257124
